set	n50	n400	score50	score400	delta	uniq50	uniq400	call400	flags50	flags400
HUM__hum__AluY_short_	88	84	100.0	100.0	0.0	1.0	1.0	ISOLATED_INSERTION	none	none
HUM__hum__AluYa5	100	96	100.0	100.0	0.0	1.0	1.0	ISOLATED_INSERTION	none	none
HUM__hum__AluYa8	35	35	100.0	100.0	0.0	1.0	1.0	ISOLATED_INSERTION	CONTAMINATED	CONTAMINATED
HUM__hum__AluYb8	100	96	100.0	100.0	0.0	1.0	1.0	ISOLATED_INSERTION	none	none
HUM__hum__AluYc	100	95	100.0	100.0	0.0	1.0	1.0	ISOLATED_INSERTION	none	NEEDS_REVIEW
HUM__hum__AluYc3	100	98	100.0	100.0	0.0	1.0	1.0	ISOLATED_INSERTION	none	none
HUM__hum__AluYd8	100	99	100.0	100.0	0.0	1.0	1.0	ISOLATED_INSERTION	none	none
HUM__hum__AluYe5	100	97	99.6	100.0	0.4	1.0	1.0	ISOLATED_INSERTION	none	none
HUM__hum__AluYg6	100	98	100.0	100.0	0.0	1.0	1.0	ISOLATED_INSERTION	none	none
HUM__hum__AluYh3	86	80	100.0	100.0	0.0	1.0	1.0	ISOLATED_INSERTION	CONTAMINATED	CONTAMINATED
HUM__hum__AluYh9	39	38	66.0	64.2	-1.8	1.0	1.0	ISOLATED_INSERTION	CONTAMINATED,SUBFAMILY_NOTE,TRUNCATED_COPIES	CONTAMINATED,SUBFAMILY_NOTE,TRUNCATED_COPIES
HUM__hum__AluYi6	100	97	99.8	100.0	0.2	1.0	1.0	ISOLATED_INSERTION	none	none
HUM__hum__AluYk11	100	94	90.4	93.0	2.6	1.0	1.0	ISOLATED_INSERTION	SUBFAMILY_NOTE,TRUNCATED_COPIES	none
HUM__hum__AluYk12	81	80	100.0	100.0	0.0	1.0	1.0	ISOLATED_INSERTION	none	none
HUM__hum__AluYk4	100	96	100.0	100.0	0.0	1.0	1.0	ISOLATED_INSERTION	none	none
HUM__hum__AluYm1	77	70	100.0	100.0	0.0	1.0	1.0	ISOLATED_INSERTION	none	none
HUM__hum__BC200	100	97	100.0	100.0	0.0	1.0	1.0	ISOLATED_INSERTION	none	NEEDS_REVIEW
HUM__hum__CAS	87	76	82.4	81.6	-0.8	0.556	0.556	ISOLATED_INSERTION	SUBFAMILY_NOTE	SUBFAMILY_NOTE,NEEDS_REVIEW
HUM__hum__FAM	100	97	100.0	100.0	0.0	1.0	1.0	ISOLATED_INSERTION	NEEDS_REVIEW	NEEDS_REVIEW
HUM__hum__FLAM_A	100	94	100.0	100.0	0.0	1.0	1.0	ISOLATED_INSERTION	NEEDS_REVIEW	NEEDS_REVIEW
HUM__hum__FLAM_C	100	90	100.0	100.0	0.0	1.0	1.0	ISOLATED_INSERTION	none	NEEDS_REVIEW
HUM__hum__FLAM_C_short_	100	98	100.0	100.0	0.0	1.0	1.0	ISOLATED_INSERTION	NEEDS_REVIEW	NEEDS_REVIEW
HUM__hum__FRAM	100	98	100.0	100.0	0.0	1.0	1.0	ISOLATED_INSERTION	none	none
HUM__hum__FRAM_short_	100	97	100.0	100.0	0.0	1.0	1.0	ISOLATED_INSERTION	none	NEEDS_REVIEW
HUM__hum__MIR	100	95	100.0	100.0	0.0	1.0	1.0	ISOLATED_INSERTION	none	none
